Pos,Title,Author,Imprint,Volume,"Value, £"
88,Happy Days with the Naked Chef,"Oliver, Jamie",Michael Joseph,"659,722","8,969,623.21"
89,Brick Lane,"Ali, Monica",Black Swan,"659,023","4,182,105.62"
90,Anybody Out There?,"Keyes, Marian",Penguin Books,"658,713","3,401,795.62"
91,"Undomestic Goddess,The","Kinsella, Sophie",Black Swan,"658,598","3,277,738.43"
92,"Book Thief,The","Zusak, Markus",Black Swan,"658,524","3,699,537.68"
93,I Know You Got Soul,"Clarkson, Jeremy",Penguin Books,"658,274","3,586,065.99"
94,Sharon Osbourne Extreme:My Autobiography,"Osbourne, Sharon",Time Warner Books,"656,431","7,086,434.17"
95,Guinness World Records 2010,,Guinness World Records,"656,326","6,181,945.47"
96,"Amber Spyglass,The:His Dark Materials S.","Pullman, Philip",Point,"653,615","3,797,459.74"
97,Can You Keep a Secret?,"Kinsella, Sophie",Black Swan,"652,788","3,722,312.19"
98,Down Under,"Bryson, Bill",Black Swan,"646,515","4,628,013.69"
99,"Spot of Bother,A","Haddon, Mark",Vintage,"645,453","3,949,459.94"
100,Dear Fatty,"French, Dawn",Century,"643,636","6,330,572.88"
