Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Ahsan,,,,,,,,,5.0,,
Aidan,1173.0,1108.0,1120.0,984.0,1033.0,705.0,533.0,528.0,449.0,361.0,322.0
Aidden,,,,,,,,,,7.0,
Aideen,,,,,,,,5.0,,,
Aiden,742.0,857.0,1214.0,1370.0,1792.0,1804.0,1940.0,1908.0,1998.0,1765.0,1870.0
Aidenn,,,,,,,,5.0,8.0,,
Aidin,5.0,6.0,,7.0,,8.0,6.0,7.0,5.0,,
Aidric,,,,,,,,5.0,5.0,8.0,5.0
Aidyn,5.0,13.0,18.0,17.0,19.0,27.0,28.0,23.0,28.0,20.0,15.0
Ailton,7.0,6.0,,,,,,,,,
Aimar,,10.0,,6.0,,,,,,,
Aisea,,,,,,,5.0,,,,
Aithan,,,,,,,,5.0,6.0,,5.0
Aiven,,,,,,,,,6.0,,
Aizen,,,,,,9.0,10.0,9.0,12.0,12.0,8.0
Aizik,,,,,5.0,,,,,,
Aj,7.0,8.0,5.0,7.0,6.0,6.0,9.0,10.0,8.0,6.0,18.0
Ajani,14.0,15.0,14.0,19.0,11.0,8.0,12.0,8.0,,5.0,
Ajay,25.0,24.0,23.0,17.0,19.0,23.0,24.0,23.0,24.0,28.0,23.0
Ajit,,,,,,6.0,,,,,
Akai,,,,,5.0,,,,5.0,,
Akash,32.0,15.0,15.0,14.0,18.0,8.0,8.0,11.0,13.0,11.0,6.0
Akeem,,,,,,,,,6.0,,
Akhil,9.0,11.0,13.0,21.0,17.0,20.0,12.0,14.0,14.0,10.0,16.0
Akil,,6.0,6.0,,,,,,,,
Akio,,,,5.0,,,,,,,
Akira,13.0,7.0,8.0,7.0,10.0,13.0,8.0,11.0,8.0,9.0,9.0
Akiva,,7.0,,,9.0,5.0,7.0,5.0,,10.0,
Akram,,,,,,,,6.0,,6.0,
Aksel,6.0,7.0,6.0,6.0,15.0,8.0,17.0,18.0,15.0,11.0,22.0
Akshaj,,,,,,7.0,7.0,7.0,16.0,8.0,6.0
Akshar,,5.0,,,,,,,,,
Akshat,7.0,9.0,,,,6.0,,5.0,,,
Akshath,,,,,,,5.0,,6.0,,
Akshay,16.0,17.0,10.0,17.0,19.0,7.0,15.0,6.0,8.0,10.0,9.0
Akul,6.0,6.0,,,,,,,,,
Al,,,,,,,5.0,,,,
Alain,5.0,12.0,16.0,11.0,5.0,12.0,11.0,9.0,8.0,12.0,9.0
Alakai,,,,,,,7.0,,,,
Alam,,,5.0,5.0,,,,,,,
Alan,712.0,765.0,840.0,732.0,749.0,654.0,581.0,541.0,569.0,624.0,607.0
Alanzo,,,,,,,,,,8.0,5.0
Alaric,6.0,6.0,,,,,,,7.0,10.0,20.0
Alasdair,,,,6.0,,,,,,,7.0
Alastair,,,,5.0,10.0,6.0,,,8.0,,
Albeiro,,,,,,5.0,,,,,
Albert,209.0,199.0,211.0,164.0,217.0,185.0,136.0,160.0,167.0,146.0,136.0
Alberto,366.0,338.0,313.0,329.0,314.0,244.0,201.0,189.0,182.0,143.0,131.0
Albino,,6.0,,,,,,,,,
Alcides,,,,,5.0,,,,,,
Aldahir,5.0,,7.0,,,,,,,,
Aldair,22.0,17.0,15.0,17.0,12.0,10.0,10.0,15.0,10.0,6.0,10.0
Alden,39.0,14.0,32.0,29.0,29.0,25.0,28.0,29.0,43.0,32.0,35.0
Alder,,,,6.0,,6.0,,,6.0,5.0,5.0
Aldo,99.0,98.0,97.0,164.0,120.0,106.0,122.0,103.0,109.0,127.0,104.0
Aldon,,,,,,,,,7.0,5.0,
Aldrich,,,,,,,,5.0,,,
Aldrin,7.0,,7.0,8.0,,6.0,5.0,,,5.0,
Alec,155.0,142.0,135.0,117.0,106.0,115.0,82.0,88.0,90.0,108.0,90.0
Aleck,,8.0,,5.0,,,,,,,
Aleczander,,,9.0,6.0,5.0,7.0,6.0,8.0,,7.0,6.0
Alegandro,,,6.0,,,,,,,,
Alejandro,1276.0,1290.0,1253.0,1208.0,1115.0,902.0,966.0,766.0,705.0,609.0,609.0
Alejo,,5.0,,5.0,,,,,,6.0,
Alek,26.0,19.0,36.0,23.0,23.0,24.0,26.0,36.0,18.0,27.0,18.0
Aleks,5.0,6.0,,6.0,,5.0,8.0,,,,
Aleksandar,,6.0,,6.0,,,,,5.0,,
Aleksander,9.0,14.0,13.0,18.0,14.0,18.0,10.0,12.0,15.0,13.0,17.0
Aleksandr,6.0,,6.0,,8.0,,10.0,9.0,5.0,,9.0
Aleksey,,,,5.0,7.0,6.0,,5.0,,,
Alekxander,,5.0,,,,,,,,,
Alekzander,,10.0,6.0,6.0,8.0,,17.0,11.0,6.0,5.0,10.0
Alen,12.0,14.0,7.0,15.0,8.0,5.0,11.0,7.0,14.0,9.0,10.0
Alesandro,,6.0,5.0,,7.0,,,,,,
Alessandro,84.0,80.0,100.0,90.0,102.0,99.0,72.0,93.0,81.0,105.0,92.0
Alessio,,10.0,,5.0,8.0,9.0,7.0,,9.0,16.0,11.0
Alex,1028.0,983.0,1004.0,989.0,825.0,828.0,743.0,628.0,683.0,621.0,608.0
Alexander,2457.0,2465.0,2498.0,2607.0,2884.0,2880.0,2601.0,2457.0,2425.0,2376.0,2478.0
Alexanderjames,,5.0,,,,,,,,,
Alexandre,36.0,25.0,20.0,19.0,27.0,15.0,26.0,20.0,30.0,18.0,11.0
Alexandro,94.0,80.0,56.0,64.0,51.0,44.0,41.0,33.0,31.0,38.0,30.0
Alexandros,,5.0,,6.0,9.0,,,,6.0,5.0,5.0
Alexandru,,6.0,5.0,7.0,,,,,,,
Alexavier,7.0,14.0,13.0,14.0,8.0,21.0,15.0,15.0,18.0,19.0,11.0
Alexei,5.0,5.0,5.0,,,,5.0,,,5.0,
Alexes,,5.0,,,,,,,,,
Alexey,,,,,,,,,,,6.0
