Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aimee,26.0,29.0,17.0,14.0,21.0,27.0,25.0,20.0,19.0,27.0,22.0
Aine,9.0,,9.0,14.0,11.0,7.0,5.0,5.0,10.0,5.0,
Ainsley,22.0,26.0,20.0,24.0,14.0,22.0,20.0,25.0,15.0,27.0,31.0
Airianna,,,,,5.0,,,,,,
Aisatou,,5.0,,,,,,,,,
Aisha,51.0,55.0,39.0,50.0,46.0,42.0,55.0,57.0,61.0,68.0,64.0
Aishah,7.0,,,7.0,6.0,,,,,5.0,6.0
Aislin,,5.0,,6.0,,,6.0,,,5.0,
Aisling,5.0,5.0,,5.0,,9.0,,8.0,5.0,,
Aislinn,9.0,6.0,10.0,8.0,,11.0,5.0,9.0,7.0,5.0,
Aislyn,,,6.0,,,,,8.0,6.0,,5.0
Aislynn,,,,,,,,,,5.0,
Aissata,,5.0,16.0,9.0,8.0,10.0,9.0,7.0,,10.0,
Aissatou,15.0,11.0,13.0,12.0,20.0,14.0,14.0,16.0,14.0,14.0,13.0
Aiva,,,,,,,,,5.0,,
Aiyana,25.0,16.0,19.0,21.0,24.0,26.0,32.0,21.0,12.0,15.0,14.0
Aiyanna,8.0,13.0,15.0,10.0,18.0,12.0,15.0,16.0,12.0,11.0,6.0
Aiza,,,,,,6.0,,15.0,10.0,15.0,22.0
Aizah,,,,,,,,8.0,,,9.0
Aja,7.0,10.0,6.0,6.0,,9.0,8.0,7.0,,5.0,5.0
Ajanae,,6.0,5.0,,,,,6.0,,,
Ajla,,,7.0,,6.0,6.0,,,,,
Ajooni,,,,,,,,,,,5.0
Akari,,,,,,6.0,,7.0,,,
Akasha,6.0,8.0,,,5.0,7.0,,,,,
Akayla,,,9.0,5.0,,5.0,6.0,,,,
Akeelah,,,20.0,19.0,7.0,12.0,,,,6.0,
Akemi,,,,,,8.0,,,,5.0,
Akila,,,5.0,,,,,,,,
Akilah,,8.0,9.0,7.0,,,,,,,
Akina,,,,,,,,5.0,,,
Akira,12.0,10.0,10.0,17.0,20.0,18.0,27.0,15.0,17.0,12.0,13.0
Akshara,,,,,,,,,,,6.0
Alaa,,,5.0,6.0,7.0,,,8.0,,7.0,6.0
Alaia,,,,,5.0,,,,5.0,,6.0
Alaina,46.0,43.0,37.0,61.0,66.0,41.0,64.0,84.0,71.0,66.0,73.0
Alaisha,,,,,,,,,,,5.0
Alana,138.0,122.0,142.0,186.0,129.0,142.0,121.0,117.0,134.0,128.0,103.0
Alanah,14.0,14.0,7.0,12.0,13.0,13.0,13.0,11.0,12.0,7.0,8.0
Alani,22.0,16.0,21.0,29.0,19.0,26.0,27.0,26.0,41.0,37.0,30.0
Alanie,,,6.0,5.0,,,,7.0,,,
Alanis,12.0,10.0,13.0,,5.0,7.0,7.0,6.0,5.0,20.0,35.0
Alanna,60.0,50.0,61.0,48.0,60.0,57.0,54.0,48.0,54.0,51.0,40.0
Alannah,16.0,10.0,21.0,28.0,24.0,21.0,22.0,20.0,17.0,28.0,23.0
Alany,,,,,,,,,,,5.0
Alara,,,,,5.0,,8.0,,5.0,,
Alasia,,5.0,5.0,,,5.0,,,,,
Alaya,,8.0,11.0,12.0,,7.0,8.0,5.0,8.0,5.0,10.0
Alayah,,,,8.0,9.0,9.0,5.0,7.0,12.0,15.0,17.0
Alayna,32.0,34.0,32.0,38.0,40.0,31.0,61.0,38.0,55.0,45.0,49.0
Alaysha,6.0,,,,,,,,,,9.0
Alaysia,9.0,8.0,5.0,10.0,7.0,7.0,10.0,5.0,7.0,9.0,10.0
Alba,9.0,10.0,10.0,7.0,10.0,7.0,10.0,6.0,8.0,9.0,
Alea,,8.0,9.0,6.0,11.0,,10.0,6.0,,9.0,6.0
Aleah,17.0,9.0,18.0,13.0,15.0,23.0,25.0,28.0,34.0,30.0,36.0
Alecia,6.0,6.0,,5.0,10.0,,,,,,
Aleeah,,,,,,,,6.0,7.0,12.0,
Aleen,,,,,,,,,,6.0,9.0
Aleena,15.0,23.0,33.0,34.0,30.0,39.0,41.0,42.0,38.0,57.0,51.0
Aleesha,,,,,5.0,,,,6.0,,
Aleeya,,,,,,,,6.0,,,
Aleeyah,,,,,,,,,10.0,,
Aleeza,,6.0,10.0,12.0,10.0,8.0,9.0,13.0,7.0,10.0,13.0
Aleia,,,5.0,,,,,,,,
