Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Adyson,5.0,,12.0,21.0,20.0,20.0,11.0,12.0,12.0,11.0,7.0
Aerabella,,,,,,,,,,7.0,
Aerilyn,,,,,,,,,,5.0,
Aerin,,,,,7.0,,,,,,7.0
Aeris,8.0,8.0,9.0,10.0,9.0,10.0,6.0,9.0,13.0,14.0,15.0
Aeryn,5.0,6.0,8.0,,,,8.0,,,,
Aeva,,,,,6.0,6.0,8.0,,,5.0,
Africa,,,7.0,,,,,,,5.0,
Afton,,7.0,7.0,,8.0,6.0,,,,5.0,
Agam,,,,,,5.0,,6.0,,,
Agatha,,,8.0,7.0,6.0,,,10.0,,5.0,9.0
Agnes,11.0,8.0,9.0,7.0,6.0,8.0,7.0,11.0,14.0,17.0,23.0
Agustina,5.0,,6.0,,6.0,,,,,,
Ahana,,,5.0,5.0,9.0,6.0,12.0,14.0,14.0,10.0,21.0
Ahlam,,,,6.0,,,,,,,
Ahlana,,,,5.0,,,,,,,
Ahmari,5.0,,,,,,,,,,
Ahna,5.0,,,,,,,,,,
Ahniah,,5.0,,,,,,,,,
Ahriana,,,5.0,,,,,,,,
Ahtziri,23.0,20.0,30.0,18.0,22.0,35.0,22.0,24.0,12.0,9.0,14.0
Ahtziry,6.0,6.0,5.0,8.0,,12.0,,9.0,6.0,,
Ai,6.0,,,,,5.0,,,,,
Aida,34.0,47.0,26.0,20.0,26.0,35.0,22.0,18.0,24.0,18.0,29.0
Aidan,17.0,20.0,14.0,10.0,13.0,6.0,5.0,,,,
Aide,10.0,17.0,6.0,14.0,9.0,10.0,13.0,12.0,10.0,9.0,
Aidee,,5.0,12.0,,6.0,6.0,6.0,,,,
Aideliz,,,,,31.0,,,,,,
Aiden,7.0,12.0,18.0,14.0,16.0,10.0,10.0,7.0,,7.0,6.0
Aidsa,,,,9.0,,,,,,,
Aidyn,,,8.0,6.0,,,,,,,
Aika,,5.0,,,,,,,,,
Aiko,7.0,8.0,8.0,8.0,7.0,13.0,8.0,8.0,9.0,8.0,9.0
Aila,6.0,8.0,9.0,10.0,11.0,9.0,14.0,21.0,14.0,16.0,14.0
