Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Akshay,,7.0,,,5.0,8.0,,,,7.0,
Al,,,,,5.0,,,,,,
Alain,6.0,6.0,,6.0,5.0,,,,,,
Alan,167.0,146.0,159.0,162.0,159.0,146.0,142.0,141.0,137.0,159.0,147.0
Alaric,,,,,,,,,6.0,6.0,
Alassane,,,,,5.0,,,,,,
Alban,7.0,,,6.0,,,,,5.0,,
Albert,83.0,83.0,82.0,69.0,88.0,65.0,77.0,60.0,88.0,70.0,77.0
Alberto,39.0,32.0,40.0,39.0,28.0,27.0,25.0,25.0,20.0,23.0,20.0
Albi,,,,6.0,,,,,,,
Albin,,,,,,,,5.0,,,
Albion,,,,,,,,6.0,,,
Alden,11.0,14.0,9.0,12.0,11.0,16.0,8.0,10.0,15.0,18.0,19.0
Aldin,6.0,5.0,,7.0,5.0,,,7.0,,5.0,
Aldo,9.0,8.0,15.0,19.0,16.0,12.0,14.0,15.0,21.0,18.0,8.0
Alec,58.0,66.0,58.0,40.0,36.0,43.0,42.0,42.0,32.0,44.0,23.0
Alejandro,125.0,122.0,150.0,127.0,142.0,120.0,146.0,118.0,98.0,115.0,98.0
Alek,,,,9.0,,,,,,5.0,5.0
Aleksandar,,6.0,,6.0,,,,,5.0,,
Aleksander,6.0,9.0,11.0,12.0,7.0,19.0,16.0,15.0,17.0,10.0,16.0
Aleksandr,,,,,7.0,10.0,,,9.0,,5.0
Aleksey,,,5.0,,,,,,6.0,,
Alen,8.0,9.0,10.0,7.0,,9.0,11.0,,8.0,9.0,11.0
Alessandro,27.0,25.0,26.0,31.0,45.0,31.0,28.0,31.0,32.0,22.0,14.0
Alessio,,9.0,,7.0,8.0,18.0,11.0,5.0,8.0,8.0,8.0
Alex,473.0,473.0,468.0,432.0,383.0,405.0,331.0,307.0,268.0,259.0,251.0
Alexander,1215.0,1224.0,1210.0,1204.0,1246.0,1170.0,1141.0,1084.0,1089.0,1045.0,1044.0
Alexandre,13.0,15.0,19.0,19.0,12.0,16.0,12.0,15.0,13.0,12.0,14.0
Alexandro,5.0,,,5.0,6.0,,,,,5.0,
Alexandros,8.0,5.0,10.0,6.0,6.0,10.0,9.0,5.0,7.0,7.0,8.0
Alexandru,,,5.0,,,,,,,,
Alexavier,7.0,5.0,10.0,7.0,7.0,10.0,,,6.0,,8.0
Alexei,,5.0,6.0,6.0,,,6.0,,,,
Alexi,5.0,,9.0,8.0,8.0,,,6.0,5.0,,
Alexis,164.0,147.0,137.0,129.0,118.0,98.0,72.0,77.0,81.0,68.0,61.0
Alexsander,,5.0,6.0,,,5.0,7.0,,,,
